CENTRAL DE CAMIONAGEM (IDA),PINGO DOCE,URB. VISTA ALEGRE,S. JOÃO (CRUZ. ADEGA COOP),HOTEL LAMEGO,RUA DE S. JOÃO,QUINTA FERRAZ,VILA HOSTILINA,SOUTO COVO (CRUZ.),RELÓGIO DO SOL,QUINTA S. VICENTE (CAFÉ BAIA),URB. DA FRANZIA,PSP,ESCOLA LATINO COELHO,CANTINA CÂMARA LAMEGO,URB. ENCOSTAS DO SOL,NAZES,CONTINENTE,URB. PARAÍSO (CLÍNICAS),ESCOLA EB 2/3,CENTRO DE SAÚDE,FAFEL/AV.S DE OUTUBRO (CRUZ.),UNIDADE SAÚDE FAMILIAR,PRAÇA DO COMÉRCIO,ACADEMIA DE MÚSICA,RUA DO TEATRO,AV. DR. ALFR. SOUSA (MULTIUSOS),AV. DR. ALFREDO SOUSA (CTT),LARGO DE CAMÕES (VOLTA),CENTRAL DE CAMIONAGEM (VOLTA),sabado
7:30,7:31,7:33,7:34,7:34,7:35,7:36,7:38,7:39,7:40,7:42,7:42,7:42,7:43,7:43,7:44,7:45,7:46,7:47,7:47,7:48,7:49,7:50,7:51,7:52,7:53,7:54,7:55,7:56,7:57,0
8:30,8:31,8:33,8:34,8:34,8:35,8:36,8:38,8:39,8:40,8:42,8:42,8:42,8:43,8:43,8:44,8:45,8:46,8:47,8:47,8:48,8:49,8:50,8:51,8:52,8:53,8:54,8:55,8:56,8:57,0
9:30,9:31,9:33,9:34,9:34,9:35,9:36,9:38,9:39,9:40,9:42,9:42,9:42,9:43,9:43,9:44,9:45,9:46,9:47,9:47,9:48,9:49,9:50,9:51,9:52,9:53,9:54,9:55,9:56,9:57,0
12:30,12:31,12:33,12:34,12:34,12:35,12:36,12:38,12:39,12:40,12:42,12:42,12:42,12:43,12:43,12:44,12:45,12:46,12:47,12:47,12:48,12:49,12:50,12:51,12:52,12:53,12:54,12:55,12:56,12:57,0
13:30,13:31,13:33,13:34,13:34,13:35,13:36,13:38,13:39,13:40,13:42,13:42,13:42,13:43,13:43,13:44,13:45,13:46,13:47,13:47,13:48,13:49,13:50,13:51,13:52,13:53,13:54,13:55,13:56,13:57,0
16:30,16:31,16:33,16:34,16:34,16:35,16:36,16:38,16:39,16:40,16:42,16:42,16:42,16:43,16:43,16:44,16:45,16:46,16:47,16:47,16:48,16:49,16:50,16:51,16:52,16:53,16:54,16:55,16:56,16:57,0
17:30,17:31,17:33,17:34,17:34,17:35,17:36,17:38,17:39,17:40,17:42,17:42,17:42,17:43,17:43,17:44,17:45,17:46,17:47,17:47,17:48,17:49,17:50,17:51,17:52,17:53,17:54,17:55,17:56,17:57,0
18:30,18:31,18:33,18:34,18:34,18:35,18:36,18:38,18:39,18:40,18:42,18:42,18:42,18:43,18:43,18:44,18:45,18:46,18:47,18:47,18:48,18:49,18:50,18:51,18:52,18:53,18:54,18:55,18:56,18:57,0
8:30,8:31,8:33,8:34,8:34,8:35,8:36,8:38,8:39,8:40,8:42,8:42,8:42,8:43,8:43,8:44,8:45,8:46,8:47,8:47,8:48,8:49,8:50,8:51,8:52,8:53,8:54,8:55,8:56,8:57,1
10:30,10:31,10:33,10:34,10:34,10:35,10:36,10:38,10:39,10:40,10:42,10:42,10:42,10:43,10:43,10:44,10:45,10:46,10:47,10:47,10:48,10:49,10:50,10:51,10:52,10:53,10:54,10:55,10:56,10:57,1
13:30,13:31,13:33,13:34,13:34,13:35,13:36,13:38,13:39,13:40,13:42,13:42,13:42,13:43,13:43,13:44,13:45,13:46,13:47,13:47,13:48,13:49,13:50,13:51,13:52,13:53,13:54,13:55,13:56,13:57,1
18:00,18:01,18:03,18:04,18:04,18:05,18:06,18:08,18:09,18:10,18:12,18:12,18:12,18:13,18:13,18:14,18:15,18:16,18:17,18:17,18:18,18:19,18:20,18:21,18:22,18:23,18:24,18:25,18:26,18:27,1
